hour,Result
0,0.966666666667
1,0.65
2,0.55
3,0.3
4,0.3
5,0.3
6,0.216666666667
7,0.35
8,0.65
9,1.96666666667
10,2.6
11,3.4
12,4.91666666667
13,5.43333333333
14,6.85
15,5.9
16,6.98333333333
17,6.05
18,6.18333333333
19,3.58333333333
20,1.23333333333
21,1.06666666667
22,1.0
23,1.2
