"shapeid","x","y"
"0","-80.441822","27.86082"
"0","-80.442029","27.861903"
"0","-80.450323","27.875324"
"0","-80.460144","27.89269"
"0","-80.478132","27.923257"
"0","-80.48996","27.943991"
"0","-80.506672","27.97488"
"0","-80.506749","27.975074"
"0","-80.516403","27.994113"
"0","-80.531596","28.02423"
"0","-80.531711","28.024547"
"0","-80.535394","28.032289"
"0","-80.540226","28.04188"
"0","-80.541629","28.04494"
"0","-80.544668","28.051808"
"0","-80.546691","28.056429"
"0","-80.549401","28.062479"
"0","-80.555991","28.077898"
"0","-80.561197","28.092581"
"0","-80.562452","28.095695"
"0","-80.562536","28.095865"
"0","-80.568347","28.114489"
"0","-80.575324","28.138691"
"0","-80.576158","28.142341"
"0","-80.577062","28.145523"
"0","-80.579281","28.154101"
"0","-80.580198","28.157623"
"0","-80.582138","28.165487"
"0","-80.583918","28.172413"
"0","-80.585534","28.178058"
"0","-80.586873","28.183304"
"0","-80.587796","28.187106"
"0","-80.587889","28.187542"
"0","-80.589135","28.193637"
"0","-80.589742","28.197916"
"0","-80.590707","28.203313"
"0","-80.591812","28.208465"
"0","-80.592431","28.212689"
"0","-80.592973","28.216311"
"0","-80.594601","28.227178"
"0","-80.595144","28.2308"
"0","-80.596369","28.239033"
"0","-80.600044","28.263732"
"0","-80.60127","28.271966"
"0","-80.60127","28.27197"
"0","-80.601273","28.271982"
"0","-80.601274","28.271987"
"0","-80.602702","28.289403"
"0","-80.602934","28.293778"
"0","-80.603204","28.298893"
"0","-80.603334","28.301348"
"0","-80.603628","28.306908"
"0","-80.60386","28.311285"
"0","-80.603882","28.313025"
"0","-80.603951","28.318244"
"0","-80.603952","28.318293"
"0","-80.603974","28.319985"
"0","-80.603972","28.319996"
"0","-80.603969","28.320031"
"0","-80.603968","28.320043"
"0","-80.60126","28.345071"
"0","-80.599576","28.357733"
"0","-80.599496","28.357991"
"0","-80.597903","28.366276"
"0","-80.597723","28.367016"
"0","-80.597216","28.368532"
"0","-80.597022","28.369343"
