X,Y,SHAPE_area,Proj_nam,MAL,DevName,DevAddy,Park_type,User_Group,20171127_Respondent (First+ Last),20171127_Gensler Revised Parking Spots,20171127_Parking
-71.05639249,42.35936066,55963.37424,60 STATE STREET ASSOCIATES,60 State St,60 State Street Associates Limited Partnership,"60 State Street, Boston, MA 02109",,Employee,Carmen Schweizer,305,Below Grade
-71.0589334,42.36565636,18667.34883,"NINETY 8 NORTH, LLC",6-24 Medford St,"Kathleen MacNeil, Macomber Development Associates","One Main Street, Cambridge, MA 02142",,Tenants,Carmen Schweizer,9,Surface Parking
-71.05219651,42.35779968,1992.083234,51 INDIA ST,0 India St,,,,,Carmen Schweizer,11,Surface Parking
-71.06090926,42.35087738,1352.597431,TYLER ST LOT,0 Tyler St,"Stanhope Garage, Inc","76 Seattle Street, Allston, MA 02134",,General public,Carmen Schweizer,63,Surface Parking
-71.05334312,42.35652233,22865.7032,PAINE WEBBER BUILDING,265 Franklin St,"Oliver Wendell Realty Trust, c/o Ronda Silberberg Canter, MCCormack & Zimbl","225 Franklin Street, Boston, MA 02210",,"Employees, lessees, patrons, customers, clients",Carmen Schweizer,128,Below Grade
-71.06104384,42.35786051,25832.56649,73 Tremont Street,73 Tremont St,,,Valet,,Carmen Schweizer,127,Below Grade
-71.05758622,42.35807421,21574.63393,DEVONSHIRE TOWER,1 Devonshire Pl,"Harvey Rothenberg, Trustee, Devonshire Towers Trust","600 Madison Towers, New York, NY 10022",,"General public, residents, tenents, lessees",Carmen Schweizer,196,Below Grade
-71.05982271,42.35135452,3622.653432,BEACH ST GARAGE,88 Beach St,,,,,Carmen Schweizer,500,Stand-alone parking attached to side of building
-71.05933828,42.36603528,13376.11053,BRAMAN-DOW LOT,239-245 Causeway St,,,,,Carmen Schweizer,17,Surface Parking
-71.05909577,42.35052939,44099.8035,179 Lincoln,85-89 Beach St,DEVCO IV 179 Lincoln Holding Co LLC c/o Millennium Partners,"172 Tremont Street, Suite 400, Boston MA 02111",Addendant assisted/valet,,Carmen Schweizer,60,Below Grade
-71.05935638,42.36143554,201965.8091,JFK Parking Facilities,15-55 New Sudbury St,,,,,Carmen Schweizer,219,Below Grade
-71.06105493,42.36483176,6308.623471,J & O LOT,0 Canal St,,,,,Carmen Schweizer,35,Surface Parking
-71.07823939,42.35098177,9947.827575,DARTMOUTH ST LOT,278 Dartmouth St,,,,,Carmen Schweizer,68,Surface Parking
-71.06026104,42.35207869,2320.800914,PING ON ST LOT,0 Ping On St,"Bradford Auto Parks, Inc","130 Essex Street, Boston, MA 02111",,General public,Carmen Schweizer,29,Surface Parking
-71.05660253,42.36151088,2424.701389,CREEK SQUARE LOT,0 Creek Sq,,,,,Carmen Schweizer,8,Surface Parking
-71.05190827,42.35370222,122360.1896,RUSSIA WHARF,500 Atlantic Ave,Boston Edison Company,"800 Boylston Street, Boston, MA 02199",,"General public, residential",Carmen Schweizer,375,Below Grade
-71.06219905,42.35839733,3491.291069,BEACON ST LOT,17 Beacon St,,,,,Carmen Schweizer,38,Surface Parking
-71.06246997,42.3586267,12972.57765,BOSTON VIEW APT,130-140 Bowdoin St,,,,,Carmen Schweizer,80,Below Grade
-71.0850068,42.34829981,17170.47851,TENNIS & RACKET CLUB,927-939 Boylston St,,,,,Carmen Schweizer,20,Surface Parking
-71.06216565,42.35475167,1146.888962,WEST ST LOT,17 West St,,,,,Carmen Schweizer,15,Surface Parking
-71.05833628,42.35783721,16939.14877,THE BOSTON COMPANY GARAGE,275 Washington St,,,,,Carmen Schweizer,0,Stand-alone parking 
-71.07137567,42.35644075,9027.943322,BRIMMER ST GARAGE,70 Brimmer St,,,,,Carmen Schweizer,110,Below Grade
-71.06282305,42.35418144,32292.66151,,537-541 Washington St,"Boston Opera House Development, LLC
C/o Clear Channel Entertainment","100 Boylston Street, Suite 950
Boston. MA 02116",self,,Carmen Schweizer,63,Below Grade
-71.06216267,42.35190955,41354.89198,,640-660 Washington St,,,Self-park,,Carmen Schweizer,548,Below Grade
-71.07393896,42.35389412,16810.87716,FIRST LUTHERAN CHURCH,299 Berkeley St,,,,,Carmen Schweizer,13,Surface Parking
-71.05922826,42.35412227,23014.3958,11-17 KINGSTON ST LOT,11-17 KINGSTON ST,"HN Gorin, Inc., 55 Summer LLC","55 Summer Street, Boston MA",Stackers,"General public, lessees (employees)",Carmen Schweizer,34,Below Grade
-71.05980563,42.35373247,4535.684753,BOSTON EDISON LOT,42 Chauncy St,,,,,Carmen Schweizer,30,Below Grade
-71.06198677,42.35337869,37247.25269,Hayward Place,558-580 Washington St,"Millennium Hayward LLC, c/o Millennium Partners - Boston","172 Tremont Street, Suite 400, Boston, MA 02111",valet,,Carmen Schweizer,125,Below Grade
-71.05699355,42.35607205,55554.93258,SHAWMUT BANK BUILDING,1 Federal St,,,,,Carmen Schweizer,204,Below Grade
-71.05626812,42.35232907,46401.00986,1 FINANCIAL CENTER GARAGE,669-671 Atlantic Ave,Rose Associates,"522 Fifth Avenue, New york, NY 10036",,General public,Carmen Schweizer,250,Below Grade
-71.05762836,42.35701326,19421.64865,50 MILK ST,50 Milk St,"Robert C. Elder, Partner, Devonshire-Milk Associates, c/o Joel H. Sirkin, H","60 State Street, Boston, MA 02111",,Tenants and employees,Carmen Schweizer,99,Below Grade
-71.05474366,42.35416122,29280.8903,KEYSTONE BUILDING GARAGE,99 High St,,,,,Carmen Schweizer,163,Below Grade
-71.05941581,42.36677384,50787.15788,234 STRADA,226-250 Causeway St,"Intercontinental Fund II 226 Causeway Street, LLC","Carlyle/Karlton 226 Causeway, L.P.",,,Carmen Schweizer,90,Stand-alone parking attached to side of building
-71.05399461,42.36536007,27797.22258,N BENNET ST LOT,21 N Bennet St,,,,,Carmen Schweizer,30,Surface Parking
-71.07443901,42.35463753,9030.267741,RESIDENCES AT 303 BERKELEY,303 Berkeley St,"Edward O'Donnell, Modern Continental","600 Memorial Drive, Cambridge, MA 02139",,Residents,Carmen Schweizer,135,Below Grade
-71.07511132,42.34923985,69784.71845,Hancock Tower,200 Clarendon St,Normandy Partners,200 Clarendon Street,,"Lessees, employees, patrons, customers, clients, patients, and guests",Carmen Schweizer,176,Below Grade
